Line Item,Line Name,Line Category ACC,Line Category RBHA,Line Category ALTCS,Revenue Expense Indicator
40105-01,Capitation,Revenues,Revenues,Revenues,Revenue
40110-01,Reserved,Revenues,Revenues,Revenues,Revenue
40115-01,Alternative Payment Model Initiatives Reconciliation/Settlement,Revenues,Revenues,Revenues,Revenue
40120-01,Delivery Supplement,Revenues,Revenues,Revenues,Revenue
40125-01,Adults >106% Reconciliation Settlement,Revenues,Revenues,Revenues,Revenue
40130-01,Tiered Reconciliation Settlement,Revenues,Revenues,Revenues,Revenue
40135-01,Title XIX/XXI Reconciliation Settlement,Revenues,Revenues,Revenues,Revenue
40140-01,RESERVED,Revenues,Revenues,Revenues,Revenue
40145-01,Other Reconciliation Settlements ,Revenues,Revenues,Revenues,Revenue
40150-01,Share of Cost Reconciliation/Settlement (SOC),Revenues,Revenues,Revenues,Revenue
40155-01,Reserved for Future Use,Revenues,Revenues,Revenues,Revenue
40160-01,Health Insurance Providers Fee Revenue,Revenues,Revenues,Revenues,Revenue
40205-01,Non-Title XIX/XXI Revenue*,Revenues,Revenues,Revenues,Revenue
40210-01,Specialty and Other Grants*,Revenues,Revenues,Revenues,Revenue
40215-01,Non-Title XIX/XXI Profit Limit,Revenues,Revenues,Revenues,Revenue
40305-01,Investment Income,Revenues,Revenues,Revenues,Revenue
40310-01,Other Income ,Revenues,Revenues,Revenues,Revenue
40315-01,Patient Contributions (MSOC),Revenues,Revenues,Revenues,Revenue
50105-01,Hospital Inpatient,Hospitalization,Hospitalization,Hospitalization,Expense
50110-01,Hospital Inpatient -Behavioral Health Services,Hospitalization,Hospitalization,Hospitalization,Expense
50115-01,Reserved,Hospitalization,Hospitalization,Hospitalization,Expense
50205-01,Primary Care Physician Services,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50210-01,Behavioral Health Physician Services,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50215-01,Referral Physician Services,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50220-01,PH FQHC/RHC Services,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50225-01,Other Professional Services,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50230-01,RESERVED,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50235-01,RESERVED,Medical Compensation,Medical Compensation,Medical Compensation,Expense
50305-01,Emergency Facility Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50310-01,PH Pharmacy,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50315-01,"Laboratory, Radiology and Medical Imaging",Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50320-01,Outpatient Facility,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50320-05,Outpatient Behavioral Health Facility,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50325-01,Durable Medical Equipment,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50330-01,Dental,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50335-01,Transportation,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50340-00,"Nursing Facility, Home Health Care",Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50340-01a,NF ICF & Bedholds,Institutional Care,Institutional Care,Institutional Care,Expense
50340-01b,Level I,Institutional Care,Institutional Care,Institutional Care,Expense
50340-01c,Level II,Institutional Care,Institutional Care,Institutional Care,Expense
50340-01d,Level III,Institutional Care,Institutional Care,Institutional Care,Expense
50340-01e,Institutional Care,Institutional Care,Institutional Care,Institutional Care,Expense
50340-01g,Other Institutional Care,Institutional Care,Institutional Care,Institutional Care,Expense
50340-05a,Home Health Nurse,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05b,Home Health Aide,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05c,Personal Care,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05d,Homemaker,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05e,Home Delivered Meals,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05f,Respite Care,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05g,Attendant Care,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05h,Assisted Living Home,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05i,Assisted Living Center,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05j,Adult Day Health,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05k,Adult Foster Care,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05l,Group Respite,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05m,Hospice,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05n,Environmental Modifications,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50340-05p,Other HCBS Expense,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Expense
50345-01,Therapies,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50349-01,TOTAL INSTITUTIONAL CARE,Institutional Care,Institutional Care,Institutional Care,Ignore
50349-05,Total Home & Community Based Services (HCBS),Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Home & Community Based Services (HCBS) Expenses,Ignore
50350-01,Alternative Payment Model Performance Based Payments to Providers,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-01,Behavioral Health Day Program,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-05,Behavioral Health Case Management Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-06,Peer/Family Support,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-07,Support Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-10,Behavioral Health Crisis Intervention Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-11,Living Skills Training,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-12,Supported Employment,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-15,Behavioral Health Rehabilitation Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-20,Behavioral Health Residential Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-21,Counseling,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-22,"Assessment, Evaluation and Screening",Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-23,Treatment Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50355-25,All Other Behavioral Health Services,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50360-01,Reserved,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
50365-01,Case Management,PH Medical Expenses,PH Medical Expenses,PH Medical Expenses,Expense
50370-01,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
60105-01,Counseling,Treatment Services,Treatment Services,Treatment Services,Expense
60105-05,"Assessment, Evaluation and Screening",Treatment Services,Treatment Services,Treatment Services,Expense
