Line Item,Line Name,Line Category,Revenue Expense Indicator,Form Type
40105-01,Capitation,Revenues,Revenue,
40110-01,Reserved,Revenues,Revenue,
40115-01,Alternative Payment Model Initiatives Reconciliation/Settlement,Revenues,Revenue,
40120-01,Delivery Supplement,Revenues,Revenue,
40125-01,Adults >106% Reconciliation Settlement,Revenues,Revenue,
40130-01,Tiered Reconciliation Settlement,Revenues,Revenue,
40135-01,Title XIX/XXI Reconciliation Settlement,Revenues,Revenue,
40140-01,RESERVED,Revenues,Revenue,
40145-01,Other Reconciliation Settlements ,Revenues,Revenue,
40150-01,Share of Cost Reconciliation/Settlement (SOC),Revenues,Revenue,
40155-01,Reserved for Future Use,Revenues,Revenue,
40160-01,Health Insurance Providers Fee Revenue,Revenues,Revenue,
40205-01,Non-Title XIX/XXI Revenue*,Revenues,Revenue,
40210-01,Specialty and Other Grants*,Revenues,Revenue,
40215-01,Non-Title XIX/XXI Profit Limit,Revenues,Revenue,
40305-01,Investment Income,Revenues,Revenue,
40310-01,Other Income ,Revenues,Revenue,
40315-01,Patient Contributions (MSOC),Revenues,Revenue,
50105-01,Hospital Inpatient,PH Hospitalization,Expense,I
50110-01,Hospital Inpatient -Behavioral Health Services,PH Hospitalization,Expense,I
50115-01,Reserved,PH Hospitalization,Expense,
50160-05,PH Pharmacy Rebate,Other Medical Expenses,Expense,
50160-10,Pharmacy Performance Guarantees,Other Medical Expenses,Expense,
50205-01,Primary Care Physician Services,PH Medical Compensation,Expense,A
50210-01,Behavioral Health Physician Services,PH Medical Compensation,Expense,A
50215-01,Referral Physician Services,PH Medical Compensation,Expense,A
50220-01,PH FQHC/RHC Services,PH Medical Compensation,Expense,A
50225-01,Other Professional Services,PH Medical Compensation,Expense,A
50230-01,RESERVED,PH Medical Compensation,Expense,
50235-01,RESERVED,PH Medical Compensation,Expense,
50305-01,Emergency Facility Services,PH Other Medical Expenses,Expense,O
50310-01,PH Pharmacy,PH Other Medical Expenses,Expense,C
50310-05,PH Pharmacy Rebate,PH Other Medical Expenses,Expense,Rx Rebates
50310-10,PH Pharmacy Performance Gaurantees,PH Other Medical Expenses,Expense,PBM Guarantees
50315-01,"Laboratory, Radiology and Medical Imaging",PH Other Medical Expenses,Expense,A
50320-01,Outpatient Facility,PH Other Medical Expenses,Expense,O
50320-05,Outpatient Behavioral Health Facility,PH Other Medical Expenses,Expense,O
50325-01,Durable Medical Equipment,PH Other Medical Expenses,Expense,A
50330-01,Dental,PH Other Medical Expenses,Expense,D
50335-01,Transportation,PH Other Medical Expenses,Expense,A
50340-00,"Nursing Facility, Home Health Care",PH Other Medical Expenses,Expense,Other
50340-01a,NF ICF & Bedholds,Institutional Care,Expense,Other
50340-01b,Level I,Institutional Care,Expense,Other
50340-01c,Level II,Institutional Care,Expense,Other
50340-01d,Level III,Institutional Care,Expense,Other
50340-01e,Institutional Care,Institutional Care,Expense,Other
50340-01g,Other Institutional Care,Institutional Care,Expense,Other
50340-05a,Home Health Nurse,Home & Community Based Services (HCBS) Expenses,Expense,Other
50340-05b,Home Health Aide,Home & Community Based Services (HCBS) Expenses,Expense,Other
